provider,model,reasoning,infection_level,n_yes,n_no,n_total,pct_stay_home,total_input_tokens,total_output_tokens,total_reasoning_tokens,total_cost
openai,gpt-5.1,off,0,2,498,500,0.4,121030,43547,0,0.586757
openai,gpt-5.1,off,0.1,112,388,500,22.4,121030,57529,0,0.726577
openai,gpt-5.1,off,0.2,112,388,500,22.4,121030,56750,0,0.718788
openai,gpt-5.1,off,0.3,125,375,500,25.0,121030,57577,0,0.727058
openai,gpt-5.1,off,0.4,149,351,500,29.8,121030,56623,0,0.717518
openai,gpt-5.1,off,0.5,211,289,500,42.2,121030,56753,0,0.718817
openai,gpt-5.1,off,0.6,181,319,500,36.2,121030,57080,0,0.722087
openai,gpt-5.1,off,0.7,207,293,500,41.4,121030,57367,0,0.724958
openai,gpt-5.1,off,0.8,236,264,500,47.2,121030,57740,0,0.728688
openai,gpt-5.1,off,0.9,197,303,500,39.4,121030,57679,0,0.728078
openai,gpt-5.1,off,1.0,123,377,500,24.6,121030,58128,0,0.732568
openai,gpt-5.1,off,1.1,214,286,500,42.8,121030,56912,0,0.720408
openai,gpt-5.1,off,1.2,251,249,500,50.2,121030,55372,0,0.705007
openai,gpt-5.1,off,1.3,255,245,500,51.0,121030,56381,0,0.715097
openai,gpt-5.1,off,1.4,302,198,500,60.4,121030,55940,0,0.710687
openai,gpt-5.1,off,1.5,336,164,500,67.2,121030,54833,0,0.699618
openai,gpt-5.1,off,1.6,293,207,500,58.6,121030,55282,0,0.704107
openai,gpt-5.1,off,1.7,312,188,500,62.4,121030,55275,0,0.704037
openai,gpt-5.1,off,1.8,302,198,500,60.4,121030,55445,0,0.705738
openai,gpt-5.1,off,1.9,306,194,500,61.2,121030,54874,0,0.700028
openai,gpt-5.1,off,2.0,303,197,500,60.6,121030,54218,0,0.693467
openai,gpt-5.1,off,2.1,345,155,500,69.0,121030,54847,0,0.699757
openai,gpt-5.1,off,2.2,331,169,500,66.2,121030,53874,0,0.690028
openai,gpt-5.1,off,2.3,319,181,500,63.8,121030,54592,0,0.697207
openai,gpt-5.1,off,2.4,343,157,500,68.6,121030,54422,0,0.695508
openai,gpt-5.1,off,2.5,352,148,500,70.4,121030,54020,0,0.691488
openai,gpt-5.1,off,2.6,349,151,500,69.8,121030,53786,0,0.689148
openai,gpt-5.1,off,2.7,347,153,500,69.4,121030,54400,0,0.695287
openai,gpt-5.1,off,2.8,354,146,500,70.8,121030,54266,0,0.693947
openai,gpt-5.1,off,2.9,349,151,500,69.8,121030,54862,0,0.699907
openai,gpt-5.1,off,3.0,371,129,500,74.2,121030,53779,0,0.689078
openai,gpt-5.1,off,3.1,422,78,500,84.4,121030,56610,0,0.717387
openai,gpt-5.1,off,3.2,396,104,500,79.2,121030,54143,0,0.692718
openai,gpt-5.1,off,3.3,399,101,500,79.8,121030,55170,0,0.702988
openai,gpt-5.1,off,3.4,413,87,500,82.6,121030,55076,0,0.702047
openai,gpt-5.1,off,3.5,421,79,500,84.2,121030,53992,0,0.691207
openai,gpt-5.1,off,4.0,428,72,500,85.6,121030,54173,0,0.693017
openai,gpt-5.1,off,5.0,429,71,500,85.8,121030,55157,0,0.702857
openai,gpt-5.1,off,6.0,442,58,500,88.4,121030,53947,0,0.690758
openai,gpt-5.1,off,7.0,448,52,500,89.6,121030,53854,0,0.689828
